-0.057689, -0.005329, -0.001998
-0.058489, -0.005995, -0.004663
-0.057423, -0.007194, -0.001998
-0.055557, -0.006928, -0.003464
-0.058622, -0.003464, -0.001998
-0.055691, -0.005862, -0.003198
-0.058222, -0.009593, -0.004796
-0.057956, -0.006395, -0.003597
-0.057023, -0.008394, -0.004263
-0.055424, -0.007727, -0.003597
-0.056224, -0.005862, -0.00493
-0.055557, -0.012524, -0.00373
-0.059954, -0.006795, -0.004263
-0.057023, -0.011858, -0.005063
-0.055424, -0.005729, -0.004263
-0.054891, -0.006262, -0.006262
-0.055025, -0.008793, -0.003331
-0.05609, -0.00453, -0.004796
-0.061153, -0.008793, -0.00493
-0.056224, -0.000799, -0.002665
-0.055957, -0.010259, -0.005196
-0.059688, -0.00866, -0.004397
-0.054891, -0.002798, -0.002132
-0.057556, -0.009193, -0.006528
-0.056757, -0.002665, -0.005462
-0.058355, -0.005063, -0.005462
-0.058622, -0.006928, -0.002931
-0.055424, -0.007461, -0.003064
-0.055158, -0.004397, -0.003997
-0.057822, -0.007594, -0.005596
-0.057423, -0.010792, -0.003997
-0.058888, -0.003997, -0.00413
-0.056357, -0.00866, -0.002265
-0.057023, -0.011724, -0.002265
-0.057289, -0.006928, -0.003597
-0.055025, -0.004397, -0.00453
-0.056757, -0.007328, -0.004397
-0.056623, -0.007994, -0.002265
-0.055557, -0.00453, -0.003331
-0.053559, -0.006528, -0.004796
-0.054891, -0.007727, -0.00453
-0.058222, -0.005063, -0.00373
-0.054625, -0.009193, -0.001732
-0.05649, -0.006262, -0.005196
-0.058755, -0.004263, -0.005995
